FiscalYear CalendarYear Collection TDSFoodNumber TDSFoodDescription Season TDSFoodListType Region Analyte Units Concentration ReportingLimit 
2018 2017 3 20 "Pork bacon, oven-cooked" Winter Regional Southeast Nickel ppb 0 40 
2018 2018 4 20 "Pork bacon, oven-cooked" Winter Regional Southwest Nickel ppb 0 40 
2018 2018 5 20 "Pork bacon, oven-cooked" Winter Regional Southeast Nickel ppb 0 40 
2018 2018 6 20 "Pork bacon, oven-cooked" Winter Regional Northeast Nickel ppb 0 40 
2018 2018 7 20 "Pork bacon, oven-cooked" Summer Regional West Nickel ppb 90 40 
2018 2018 8 20 "Pork bacon, oven-cooked" Summer Regional Northeast Nickel ppb 0 40 
2018 2018 9 20 "Pork bacon, oven-cooked" Summer Regional Southwest Nickel ppb 0 40 
2018 2018 10 20 "Pork bacon, oven-cooked" Summer Regional Mid-Atlantic Nickel ppb 0 40 
2018 2018 11 20 "Pork bacon, oven-cooked" Summer Regional West Nickel ppb 55 40 
2018 2018 12 20 "Pork bacon, oven-cooked" Summer Regional North Central Nickel ppb 0 40 
2019 2018 1 20 "Pork bacon, oven-cooked" Winter Regional West Nickel ppb 0 40 
2019 2018 2 20 "Pork bacon, oven-cooked" Winter Regional Southeast Nickel ppb 0 40 
2019 2018 3 20 "Pork bacon, oven-cooked" Winter Regional Northeast Nickel ppb 41 40 
2019 2019 7 20 "Pork bacon, oven-cooked" Summer Regional Southeast Nickel ppb 0 40 
2019 2019 8 20 "Pork bacon, oven-cooked" Summer Regional North Central Nickel ppb 0 40 
2019 2019 9 20 "Pork bacon, oven-cooked" Summer Regional West Nickel ppb 0 40 
2019 2019 10 20 "Pork bacon, oven-cooked" Summer Regional Northeast Nickel ppb 0 40 
2019 2019 11 20 "Pork bacon, oven-cooked" Summer Regional Mid-Atlantic Nickel ppb 0 40 
2019 2019 12 20 "Pork bacon, oven-cooked" Summer Regional Southwest Nickel ppb 0 40 
2020 2019 1 20 "Pork bacon, oven-cooked" Winter Regional Northeast Nickel ppb 0 40 
2020 2019 2 20 "Pork bacon, oven-cooked" Winter Regional Southwest Nickel ppb 0 40 
2020 2019 3 20 "Pork bacon, oven-cooked" Winter Regional Mid-Atlantic Nickel ppb 0 40 
2020 2020 4 20 "Pork bacon, oven-cooked" Winter Regional West Nickel ppb 0 40 
2020 2020 5 20 "Pork bacon, oven-cooked" Winter Regional North Central Nickel ppb 0 40 
2020 2020 6 20 "Pork bacon, oven-cooked" Winter Regional Southeast Nickel ppb 0 40 
2018 2017 1 22 "Lamb chop, pan-cooked with oil" Winter Regional Mid-Atlantic Nickel ppb 0 40 
2018 2017 2 22 "Lamb chop, pan-cooked with oil" Winter Regional North Central Nickel ppb 0 40 
2018 2017 3 22 "Lamb chop, pan-cooked with oil" Winter Regional Southeast Nickel ppb 0 40 
2018 2018 4 22 "Lamb chop, pan-cooked with oil" Winter Regional Southwest Nickel ppb 0 40 
